idx,saq1_1,saq1_2,saq2_1,saq2_2,saq3_1,saq3_2,saq4_1,saq4_2,saq5_1,saq5_2,saq6_1,saq6_2,saq7_1,saq7_2,saq8_1,saq8_2,saq9_1,saq9_2,saq10_1,saq10_2,saq11_1,saq11_2,saq12_1,saq12_2,saq13_1,saq13_2,saq14_1,saq14_2,saq15_1,saq15_2,saq16_1,saq16_2,saq17_1,saq17_2,saq18_1,saq18_2,saq19_1,saq19_2,saq20_1,saq20_2,saq21_1,saq21_2,saq22_1,saq22_2,saq23_1,saq23_2,saq24_1,saq24_2,saq25_1,saq25_2,saq26_1,saq26_2,saq27_1,saq27_2,saq28_1,saq28_2,saq29_1,saq29_2,saq30_1,saq30_2,saq31_1,saq31_2,saq32_1,saq32_2,saq33_1,saq33_2,saq34_1,saq34_2,saq35_1,saq35_2,saq36_1,saq36_2,saq37_1,saq37_2,saq38_1,saq38_2,saq39_1,saq39_2,saq40_1,saq40_2,saq41_1,saq41_2,saq42_1,saq42_2,saq43_1,saq43_2,saq44_1,saq44_2,vq1,vq2,vq3,vq4,vq5,vq6,vq7,vq8,vq9,vq10,vq11,vq12,vq13,bq1,bq2,bq3,bq4,bq4_1a,bq4_1b,bq4_1c,bq5,bq5_1,bq5_2,bq6,bq7,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13_1,bq13_2,bq13_3,bq14_1,bq14_2,bq14_3,bq14_4,bq14_5,bq14_6,bq14_7,bq15,bq16_1,bq16_2,bq16_3,bq16_4,bq16_5,bq16_6,bq16_7,bq16_8,bq16_9,bq16_10,bq17,bq18_1,bq18_2,bq18_3,bq18_4,bq18_5,bq18_6,bq18_7,bq18_8,bq18_9,bq18_10,bq19,bq20,bq20_1,bq21_1,bq21_2,bq21_3,bq21_4,bq22_1,bq22_2,bq22_3,bq22_4,bq22_5,bq22_6,bq23_1,bq23_2,bq23_3,bq24,bq25,bq26,bq26_1,bq27_1,bq27_2,bq28,bq29,bq30_1,bq30_2,bq30_3,knowcode
27127,4,4,4,4,4,5,4,5,3,3,4,5,1, ,4,5,3,4,1, ,3,4,3,4,4,5,3,4,4,5,3,4,3,4,1, ,1, ,4,5,3,3,3,4,4,4,1, ,4,5,1, ,1, ,1, ,5,5,1, ,3,4,4,5,1, ,3,4,3,4,3,4,1, ,3,4,3,3,2,3,2,3,3,4,4,5,3,4,2,4,5,3,4,4,4,4,4,3,4,5,4,16,5,3,1,보건교사 자격증,간호사 자격증, ,2, , ,7,5,4,4,4,4,4,4,3,3,4,4,4,1,5,5,4,5,5,5,3,3,1,3,4,4,5,4,5,4,4,4,3,4,4,2,2,2,2,2,2,2,2,2, ,1,3,일정하게 인원이 정해져 있으므로 일자리 변화는 없을 것 같아서,3,2,3,2,5,7,4,5,2,3,3,4,3,2,42,4,간호학,1,1,1,40,4000,2600, ,304003
27128,5,6,5,6,4,5,4,5,4,5,4,5,5,6,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,3,4,4,5,4,5,4,5,4,5,3,4,3,4,4,5,3,3,2,3,2,2,2,2,2,2,3,4,2,2,3,4,3,3,3,3,3,4,3,4,3,3,4,5,4,5,4,4,4,5,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,15,2,2,1,법무사, , ,1,4,현장 업무,4,5,4,4,4,4,4,4,5,5,5,4,4,2,5,4,3,4,4,3,4,4,4,3,4,3,3,4,4,4,4,4,3,4,3,2,2,2,2,2,2,2,2,2, ,1,2,경기 침체,3,3,3,2,3,4,3,5,6,6,3,6,5,1,45,4,기계공학,1,1,1,40,4000,3000, ,221401
27129,3,4,3,4,3,4,3,5,3,5,3,5,3,5,4,5,4,5,4,5,3,4,3,4,3,4,4,5,4,4,4,5,3,4,4,5,4,5,3,5,4,4,3,5,4,5,3,4,4,4,4,5,4,5,4,5,4,5,4,5,4,5,3,4,4,5,4,5,4,5,4,5,3,4,3,4,4,6,3,4,3,4,4,5,3,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,1,4,2, , , ,2, , ,5,5,4,4,4,3,4,4,4,4,4,4,4,2,4,4,4,4,3,4,2,4,4,3,4,3,4,4,4,3,4,4,4,4,3,2,2,1,1,2,2,2,2,2,"새로운 장비, 기술 도입됨",2,2,전체적으로 경기 악화 때문,3,2,3,2,5,7,5,5,5,5,5,5,5,1,38,4,기계,1,1,1,48,4300,3000, ,815001
27130,4,5,2,3,3,3,4,5,3,4,3,5,4,4,3,3,3,2,1, ,2,3,3,4,3,5,3,2,3,3,4,4,3,4,1, ,5,6,3,4,3,5,4,4,4,4,2,3,3,3,1, ,2,4,1, ,2,3,1, ,3,2,1, ,1, ,1, ,1, ,1, ,2,3,3,3,2,3,1, ,3,3,1, ,3,3,2,1,4,4,4,4,4,3,4,2,3,4,4,2,4,16,5,3,1,보건교사 자격증, , ,1,2,"기초보건교육, 인성교육",4,5,4,3,3,4,4,3,4,3,3,3,4,3,4,4,2,2,3,4,3,3,4,4,4,3,4,3,3,2,3,4,3,2,2,2,2,2,2,2,2,2,2,2, ,1,3,사람의 상태를 소통하며 확인해서 그에 맞는 각가의 처방을 내려줘야 하는 일이라 대체불가,3,3,3,2,6,4,7,3,6,7,7,6,4,2,25,4,보건학,1,1,1,40,3500,3300, ,304003
27131,5,6,4,5,3,5,4,4,4,6,4,5,4,5,5,6,4,5,4,5,4,5,4,5,5,6,4,5,1, ,1, ,4,5,4,5,4,5,5,6,4,5,4,5,4,5,3,3,4,4,1, ,4,5,4,6,4,5,4,5,3,3,3,4,3,4,4,6,4,6,5,5,1, ,3,5,4,4,2,3,3,5,4,5,3,3,3,2,4,3,5,3,4,2,4,4,3,4,4,4,5,6,1,2,1,건축기사, , ,2, , ,7,5,4,4,3,4,4,4,3,4,5,5,4,2,4,4,2,4,3,3,5,2,3,3,5,3,2,3,4,4,5,4,3,5,4,2,2,2,2,2,2,2,2,2, ,2,2,건설경기가 아직은 침체에서 일어나기 힘들 것 같다,2,2,3,2,8,8,7,5,3,6,6,2,1,1,49,4,건축설비공학,1,1,1,40,5700,2700, ,140201
27132,4,5,5,6,3,4,5,6,3,4,4,6,3,4,3,4,3,4,3,4,3,4,1, ,3,4,3,4,3,4,3,4,4,5,4,4,1, ,4,5,3,4,3,4,4,5,3,4,1, ,1, ,1, ,1, ,1, ,1, ,4,5,1, ,1, ,1, ,1, ,1, ,4,5,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,4,3,3,3,3,4,3,3,3,3,4,4,11,1,2,1,자산관리사,신용분석사, ,2, , ,3,5,4,4,3,4,4,4,4,5,5,4,4,2,4,4,4,3,3,2,1,4,3,4,3,3,3,3,3,4,5,4,3,3,4,1,2,2,2,1,1,2,2,2,AI 발달,3,2,AI발달로 기계가 업무를 대체,3,3,3,1,2,8,8,3,3,3,1,2,8,2,34,4,경제학,1,1,1,40,4500,3200, ,32201
27133,4,4,3,4,2,3,3,3,3,4,3,3,4,5,3,4,3,4,4,4,4,5,4,5,4,5,4,5,4,4,4,4,3,3,4,5,3,3,4,4,3,3,3,3,3,3,3,4,4,5,3,4,4,5,4,5,4,5,4,5,3,5,4,5,4,6,4,5,4,5,4,4,4,5,4,6,4,6,4,5,4,5,4,4,3,4,3,4,4,3,3,4,4,2,4,4,3,2,4,3,2,3,1,2,2, , , ,2, , ,7,1,3,4,3,3,3,2,4,4,3,4,4,3,4,3,4,4,3,4,4,4,4,3,4,3,3,3,4,4,5,4,4,5,4,2,2,2,2,2,2,1,2,2,회사가 힘들어 구조조정을 하고 있다,2,2,모든 것이 자동화가 되가고 있어서 일이 감소할 것 같다,2,2,2,1,8,9,8,2,6,6,8,8,2,1,34,4,대학교 기계학,1,1,1,52,3800,2800, ,835201
27134,1, ,2,3,1, ,1, ,1, ,1, ,4,4,3,4,2,3,1, ,1, ,1, ,3,4,1, ,3,5,1, ,1, ,1, ,1, ,4,6,3,4,1, ,1, ,1, ,4,5,3,4,2,2,1, ,2,3,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,2,3,1, ,1, ,1, ,4,5,4,3,4,2,3,4,3,2,4,1,4,19,1,2,1,헤어 자격증, , ,2, , ,7,1,4,3,3,4,4,3,3,4,3,3,3,2,4,4,4,3,3,4,3,2,3,3,4,5,4,3,3,4,4,3,4,4,3,2,2,2,2,2,2,2,2,2, ,1,3,큰 변화는 없을 것 같음,2,2,2,2,7,8,6,4,4,4,7,3,2,2,32,3,메이크업,1,1,1,48,2800,2000, ,511201
27135,3,4,4,5,2,3,1, ,1, ,2,3,2,3,2,3,2,3,2,2,2,2,2,2,3,4,2,3,2,3,4,5,2,3,2,3,2,3,2,3,3,4,2,3,2,3,2,3,3,4,3,4,3,4,3,4,4,5,3,4,2,3,4,5,4,5,4,5,4,5,4,5,2,3,5,7,5,7,4,5,5,7,4,5,4,5,5,7,4,4,5,4,4,2,3,3,3,4,4,3,4,3,1,1,2, , , ,1,4,현장실습,6,2,3,4,3,4,4,3,3,3,4,4,4,3,4,5,2,3,2,2,5,4,5,2,5,4,5,5,4,4,5,4,4,5,4,2,2,2,2,2,2,2,2,2, ,2,3,큰 변화 없다,2,2,3,2,7,4,7,2,3,4,2,3,2,1,46,2,전기,1,1,1,40,2500,2400, ,885101
27136,4,6,5,6,5,6,5,6,2,2,4,5,4,5,4,5,4,5,5,6,4,6,4,5,5,6,4,5,5,6,5,6,4,5,4,5,3,4,4,5,4,5,5,6,5,6,3,4,2,2,4,5,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,4,5,2,2,1, ,5,3,4,3,4,5,4,5,5,6,4,4,4,3,3,4,4,4,4,3,3,4,4,15,2,2,1,변리사, , ,1,4,집합 교육,4,5,4,4,4,5,4,4,5,5,4,5,5,1,4,4,2,3,4,4,4,4,4,2,4,4,4,4,4,3,4,4,3,4,3,2,2,2,2,2,2,2,2,2, ,1,3,업무량이 비슷하다,3,3,3,2,7,6,5,5,5,6,7,6,5,1,33,4,경제,1,1,1,40,3500,3000, ,221401
27137,4,3,3,3,3,2,4,4,1, ,3,5,3,3,2,2,4,3,3,3,3,3,2,2,3,3,4,5,4,3,3,3,4,4,4,3,3,3,4,4,3,3,4,4,5,3,4,3,3,5,4,3,2,1,2,2,2,2,2,2,2,1,3,2,2,1,3,3,3,3,2,1,2,2,4,5,2,2,4,3,3,3,2,2,4,4,2,1,3,4,4,3,3,3,3,4,4,2,3,3,4,19,1,1,1,미용사, , ,1,6,미용 실무,5,2,3,3,3,4,4,3,4,9,9,9,4,3,3,3,3,4,4,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2, ,1,3,헤어에 관한 유행과 관심으로 고용 안정,3,2,2,2,6,6,6,5,6,6,6,5,4,2,52,2,인문계,1,3,2,40,1900,1700, ,511201
27138,4,4,4,5,4,4,4,4,4,5,4,5,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,5,4,5,4,5,4,3,4,4,4,4,3,4,3,3,4,4,3,4,3,4,3,4,3,4,3,4,3,3,3,3,3,3,3,3,1, ,3,4,3,3,3,3,3,3,2,3,3,3,1, ,4,5,4,5,4,3,4,4,4,4,4,4,4,4,3,3,3,15,2,3,1,교통산업기사, , ,2, , ,4,5,3,3,3,3,4,3,3,3,3,4,3,4,4,4,4,3,4,3,4,3,3,3,3,3,4,3,3,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2, ,2,3,변화없다,3,3,3,2,7,7,7,6,7,7,3,4,3,1,30,4,지상교통학,1,1,1,40,3200,2800, ,140503
27139,3,3,2,3,2,3,2,3,2,3,2,3,2,4,2,2,3,3,1, ,2,3,3,4,2,2,2,3,2,3,2,3,2,2,2,3,2,3,3,3,3,4,2,3,2,2,3,3,2,2,3,4,2,3,2,3,2,4,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,4,2,2,2,5,3,3,2,3,3,3,3,3,4,2,4,3,2,3,3,2,3,18,1,1,1,헤어미용사자격증, , ,1,1,손님응대,5,3,4,3,3,4,3,2,3,3,3,4,4,2,4,4,4,3,2,2,1,3,3,3,4,3,4,2,2,3,4,3,3,3,4,2,2,2,2,2,2,2,2,2, ,1,3,미용전문학교가 생길정도로 유입인원이 증가해서,2,2,2,2,9,8,8,7,2,1,2,3,8,2,34,3,전문대 미용학,1,1,1,60,4000,2000, ,511201
