idx,sq1,sq2,sq3,sq4,sq5,sq6,sq7,sq8,sq9,sq10,sq11,sq12,sq13,sq14,sq15,sq16,kq1_1,kq1_2,kq2_1,kq2_2,kq3_1,kq3_2,kq4_1,kq4_2,kq5_1,kq5_2,kq6_1,kq6_2,kq7_1,kq7_2,kq8_1,kq8_2,kq9_1,kq9_2,kq10_1,kq10_2,kq11_1,kq11_2,kq12_1,kq12_2,kq13_1,kq13_2,kq14_1,kq14_2,kq15_1,kq15_2,kq16_1,kq16_2,kq17_1,kq17_2,kq18_1,kq18_2,kq19_1,kq19_2,kq20_1,kq20_2,kq21_1,kq21_2,kq22_1,kq22_2,kq23_1,kq23_2,kq24_1,kq24_2,kq25_1,kq25_2,kq26_1,kq26_2,kq27_1,kq27_2,kq28_1,kq28_2,kq29_1,kq29_2,kq30_1,kq30_2,kq31_1,kq31_2,kq32_1,kq32_2,kq33_1,kq33_2,bq1,bq2,bq3,bq4,bq4_1a,bq4_1b,bq4_1c,bq5,bq5_1,bq5_2,bq6,bq7,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13_1,bq13_2,bq13_3,bq14_1,bq14_2,bq14_3,bq14_4,bq14_5,bq15,bq16_1,bq16_2,bq16_3,bq16_4,bq16_5,bq17,bq18_1,bq18_2,bq18_3,bq18_4,bq18_5,bq18_6,bq18_7,bq18_8,bq18_9,bq18_10,bq19,bq20,bq20_1,bq21_1,bq21_2,bq21_3,bq22,bq23,bq24,bq25,bq26,bq27,bq27_1,bq28,bq28_1,bq28_2,bq29,bq30,bq31_1,bq31_2,bq31_3,knowcode
18569,4,4,4,3,4,4,4,4,4,4,4,5,4,4,4,4,3,3,2,2,1,0,2,2,2,2,3,4,4,5,1,0,4,5,4,5,4,5,4,5,5,6,4,5,4,5,3,4,1,0,1,0,2,2,4,5,3,3,2,2,1,0,2,2,3,4,3,4,2,2,2,2,5,6,4,5,4,5,4,5,5,5,15,2,4,1,전기철도자격증,전동차정비원, ,1,5,전동차 내부 익히기,7,4,4,4,3,4,4,4,5,5,4,4,4,4.0,3,4.0,5.0,5.0,5.0,4,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,사람은 줄고 일은 많으니까 업무가 많다,3.0,4,수송수요가 늘어날다,4,4.0,3, , , ,1,35.0,4,기계공학과,1,1, ,1,40,3500,3000, ,812301
18570,4,3,4,4,4,4,3,4,5,4,3,5,4,4,1,2,4,6,3,4,4,5,5,5,3,4,5,6,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,4,8,1,3,2, , , ,2, , ,1,4,4,3,3,4,4,3,4,9,9,4,4,1.0,4,3.0,4.0,5.0,3.0,4,3.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, ,1.0,3,운송시장이 큰 변화 없을듯해서,2,3.0,3,"컨테이너 대여사업,랜탈사업", , ,1,63.0,3,경영학,2, ,5, ,40.0, , ,5000,15201
18571,2,3,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,1,0,3,4,2,3,2,2,1,0,1,0,3,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,1,4,1,2, , , ,2, , ,2,2,4,4,4,4,4,4,3,9,9,9,3,4.0,4,4.0,4.0,5.0,4.0,4,4.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, ,1.0,3, ,4,4.0,4,숙박업, , ,2,62.0,2, ,2, ,6, ,30, , ,3000,901101
18572,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,6,5,6,5,6,4,5,4,5,4,5,5,6,3,3,3,3,2,2,2,3,4,5,3,4,3,4,2,3,3,4,3,4,3,4,2,2,5,6,4,6,2,2,1,0,2,2,2,2,4,5,4,5,4,5,4,5,4,5,2,3,15,1,2,1,컴퓨터활용능력2급,행정사자격증, ,1,1,전산실무교육,4,5,5,5,5,4,4,4,4,3,3,4,4,5.0,5,5.0,4.0,5.0,4.0,4,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, ,2.0,4,편리하게 일처리을 하기위해서 문서대행 업무를 맡길거 같아서,2,3.0,3, , , ,2,33.0,4,행정학,1,1, ,1,40.0,3600,2400, ,29903
18573,1,4,4,1,1,2,4,3,4,4,4,5,4,3,1,1,2,2,2,2,2,2,2,2,4,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,2,2,1,0,1,0,1,0,1,0,2,2,2,2,1,0,19,4,1,2, , , ,2, , ,7,1,2,2,2,4,2,3,2,9,9,9,2,3.0,2,2.0,3.0,3.0,2.0,3,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, ,2.0,2,일거리가 줄어들고 있다,3,2.0,2,용역회사(청소원), , ,1,67.0,1, ,2, ,6, ,45, , ,1500,561401
18574,4,4,4,3,5,4,4,5,3,3,5,4,4,3,3,3,3,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,3,1,0,1,0,1,0,1,0,1,0,1,0,2,2,2,2,2,4,1,0,1,0,8,4,1,1,건설기계 조종사 면허증,1종대형,특수장비면허증,2, , ,6,2,3,3,3,2,3,2,2,9,9,9,3,2.0,4,3.0,3.0,3.0,4.0,2,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, ,2.0,2,건설경기침체,2,2.0,2, , , ,1,46.0,2,인문과,2, ,6, ,50, , ,3000,704001
18575,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,4,2,3,4,6,2,2,3,4,3,4,1,0,3,4,1,0,5,5,1,0,1,0,1,0,1,0,1,0,1,0,3,4,1,0,1,0,1,0,3,4,3,4,3,4,4,6,3,4,1,0,1,0,1,0,2,3,3,4,3,4,1,0,3,1,5,2, , , ,1,5,업무프로세스의 이해,6,5,3,3,1,3,3,2,3,3,3,3,3,3.0,2,3.0,2.0,3.0,3.0,2,2.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3D virtual garment,2.0,1,패션  제조업 자체가 한국에서 많이 저조해지는 추세여서,2,3.0,2, ,"스타일 디자이너,소재디자이너",3D그래픽 디자이너(=VD 디자이너),2,28.0,4,의류과,1,1, ,1,61,4800,4250, ,415201
18576,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3,3,2,2,3,3,3,2,3,2,2,1,2,2,3,4,2,2,3,5,3,5,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,17,5,5,2, , , ,1,2, ,4,5,4,3,3,4,4,3,3,3,4,4,4,2.0,4,3.0,3.0,3.0,4.0,3,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,관련 업무 증가,3.0,5,서비스 발달,2,3.0,2, , , ,2,32.0,5,간호학,1,1, ,1,40.0,7000,6000, ,29202
18577,3,3,4,3,4,5,5,4,5,5,5,4,3,4,2,4,3,4,3,2,2,4,2,4,3,4,1,0,1,0,1,0,3,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,1,2,1,1,0,1,0,2,1,2,1,3,4,3,4,2,4,2,4,2,3,3,1,1,0,2,4,5,5,1,0,20,4,1,2, , , ,1,3,기상캐스터 교육,3,5,4,4,4,3,4,4,4,9,9,9,3,3.0,3,4.0,4.0,4.0,6.0,4,3.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, ,4.0,2,AI,2,2.0,2,사무직, , ,2,32.0,4,인문과,1,4, ,2,32,2400,2000, ,416303
18578,3,3,3,2,3,3,4,3,3,2,3,3,3,3,4,4,4,5,4,6,4,5,4,4,4,4,2,3,2,4,4,4,4,5,4,5,3,4,3,4,5,7,4,5,4,5,4,5,4,5,1,0,4,5,2,2,3,4,3,3,2,2,1,0,2,2,1,0,2,2,2,2,5,5,4,5,5,5,4,5,5,6,15,2,4,1,전기철도차량정비기사, , ,1,4,기초훈련,5,4,4,4,4,4,4,4,5,5,4,4,4,4.0,3,4.0,5.0,5.0,4.0,5,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,자동화 프로그램,2.0,4,수용수요가 많아져서 인원이 많이 필요하다,5,5.0,4, , , ,1,40.0,4,기계자동차학과,1,1, ,1,40,3900,3000, ,812301
