idx,aq1_1,aq1_2,aq2_1,aq2_2,aq3_1,aq3_2,aq4_1,aq4_2,aq5_1,aq5_2,aq6_1,aq6_2,aq7_1,aq7_2,aq8_1,aq8_2,aq9_1,aq9_2,aq10_1,aq10_2,aq11_1,aq11_2,aq12_1,aq12_2,aq13_1,aq13_2,aq14_1,aq14_2,aq15_1,aq15_2,aq16_1,aq16_2,aq17_1,aq17_2,aq18_1,aq18_2,aq19_1,aq19_2,aq20_1,aq20_2,aq21_1,aq21_2,aq22_1,aq22_2,aq23_1,aq23_2,aq24_1,aq24_2,aq25_1,aq25_2,aq26_1,aq26_2,aq27_1,aq27_2,aq28_1,aq28_2,aq29_1,aq29_2,aq30_1,aq30_2,aq31_1,aq31_2,aq32_1,aq32_2,aq33_1,aq33_2,aq34_1,aq34_2,aq35_1,aq35_2,aq36_1,aq36_2,aq37_1,aq37_2,aq38_1,aq38_2,aq39_1,aq39_2,aq40_1,aq40_2,aq41_1,aq41_2,bq1,bq2,bq3,bq4,bq4_1a,bq4_1b,bq4_1c,bq5,bq5_1,bq5_2,bq6,bq7,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13,bq14,bq15_1,bq15_2,bq15_3,bq16,bq17,bq18_1,bq18_2,bq18_3,bq18_4,bq18_5,bq18_6,bq18_7,bq19,bq19_1,bq20,bq21,bq22,bq23,bq24_1,bq24_2,bq24_3,bq24_4,bq24_5,bq24_6,bq24_7,bq24_8,bq25,bq26,bq27,bq28,bq29,bq30,bq31,bq32,bq33,bq34,bq35,bq36,bq37,bq38,bq38_1,bq39_1,bq39_2,bq40,bq41_1,bq41_2,bq41_3,knowcode
0,3,3,3,3,3,3,4,4,3,4,3,3,2,2,2,2,2,2,3,3,3,3,4,4,3,3,3,2,3,3,5,6,5,6,4,5,2,2,5,6,3,4,4,5,3,4,4,4,2,2,3,4,4,5,3,4,1,0,2,2,3,3,1,0,2,2,2,5,3,4,3,4,2,2,2,2,5,2,2,2,2,2,3,1,6,1,자동차도장기능사,0,0,1,2,실무교육,5,2,4,3,3,4,4,3,4,3,4,4,4,4,3,2,4,3,2,2,4,4,2,3,2,3,3,2,생산설비의 자동화로,2,3,5,10,1,1,1,2,2,2,2,2,3,3,4,3,2,없다,없다,없다,건설현장 노무직,없다,4,1,52,2,실업,1,1,1,4000,0,2200,825101
1,4,5,4,5,3,4,3,4,3,4,1,0,1,0,1,0,1,0,2,3,3,4,3,4,4,5,2,2,3,4,3,4,3,4,3,4,1,0,2,3,1,0,3,4,3,4,2,3,1,0,3,4,2,3,3,4,1,0,1,0,3,4,1,0,3,4,3,4,1,0,3,4,3,4,3,4,2,2,1,0,1,0,13,1,3,1,건축전기설비기술사,0,0,2,0,0,6,5,4,3,3,4,4,2,3,3,4,4,3,3,3,2,3,3,4,3,4,2,2,4,2,2,4,2,건설 수주가 없어서,3,3,6,50,2,2,2,2,2,2,2,2,4,3,4,3,2,없다,"매타기, 드라이버, 가위, CAD",0,0,0,2,1,38,4,건축공학,1,1,1,3900,0,2400,140204
2,3,4,3,4,3,4,5,6,4,5,1,0,1,0,3,4,3,4,3,4,1,0,3,4,3,4,1,0,3,4,3,4,3,4,3,4,3,4,3,4,4,5,3,4,3,4,2,3,1,0,3,3,2,3,3,4,1,0,3,4,3,4,1,0,3,4,3,4,3,4,3,4,3,4,3,4,1,0,1,0,1,0,13,1,3,1,건축전기설비기술사,0,0,2,0,0,6,5,4,4,3,4,4,1,3,4,4,4,3,3,3,2,3,3,4,3,4,2,2,4,2,2,4,2,신축 건설경기가 좋지 않아서,3,2,5,40,2,2,2,2,2,2,2,2,4,4,4,2,2,없다,"건축설계표, 오토캐드, 파이프, 보일러",0,0,0,2,1,50,4,건축공학,1,1,1,4000,0,2400,140204
3,3,3,3,3,3,5,4,5,4,6,3,5,3,4,4,5,5,5,4,5,3,4,4,5,3,5,3,4,4,4,3,4,2,2,4,4,4,2,4,3,5,3,5,2,4,3,4,2,4,2,3,4,4,4,3,5,1,0,3,5,4,4,4,3,5,5,5,4,4,3,4,4,4,4,4,4,4,4,4,2,4,3,13,2,6,1,지적기사,0,0,1,1,측량 및 정보통신기술 교육,2,4,4,3,2,4,4,3,3,3,3,3,3,2,2,4,2,2,2,3,4,4,4,3,2,2,3,1,"업무량 감소, 자동화로 인해서",4,2,6,30,2,1,1,2,1,1,1,1,3,4,4,4,4,지적기사,"토탈스테이션, SZP",무,지적공무원,0,4,1,42,4,환경학과,1,1,1,7000,0,3500,140601
4,4,5,3,4,3,4,4,5,3,4,1,0,1,0,1,0,1,0,3,4,2,2,3,4,3,4,1,0,3,4,3,4,3,4,3,4,1,0,2,3,3,4,3,4,3,4,2,3,1,0,2,3,2,3,2,3,1,0,1,0,1,0,1,0,2,2,2,3,1,0,2,3,2,2,3,4,2,2,1,0,1,0,6,1,4,1,건축전기설비기술사,0,0,2,0,0,6,5,4,2,2,4,4,1,3,3,4,4,3,3,2,3,2,2,4,3,4,3,2,4,2,2,4,2,부동산 거품 빠지면서 건축 경기도 덩달아 불황,3,2,3,40,2,2,2,2,2,2,2,2,4,3,4,3,3,없다,"캐드, 엑셀, 건축도면",0,0,0,2,1,51,4,건축공학,1,1,1,4000,0,2500,140204
5,5,6,4,5,5,7,4,6,3,5,4,6,4,6,3,3,4,6,4,5,1,0,4,6,2,1,5,7,5,7,3,5,2,1,3,4,3,5,2,3,2,4,2,1,3,3,4,4,4,6,4,6,3,5,3,4,5,7,5,6,4,6,5,7,3,5,4,6,3,5,4,6,5,7,3,5,5,7,5,7,2,3,15,2,2,2,0,0,0,1,6,다양한 업무파악,6,5,4,5,4,4,5,4,5,4,4,5,5,4,4,4,5,4,4,2,4,5,4,4,5,4,4,4,전문적인 직업이라서,4,4,6,60,1,1,1,1,1,1,1,1,4,4,4,4,4,안내원,볼펜,없다,없다,없다,1,1,52,4,경제학,1,1,1,5800,0,2100,522202
6,3,5,5,7,5,7,3,5,4,6,5,7,3,5,4,6,3,5,5,7,3,5,5,7,3,1,4,5,3,5,4,6,3,2,4,6,2,3,4,6,3,3,2,2,4,6,5,7,5,7,3,3,2,2,2,3,5,7,3,5,5,7,5,7,4,5,3,2,4,6,3,6,4,6,5,7,2,2,2,1,3,4,15,2,2,2,0,0,0,1,6,자유로운 근무조건,6,5,4,5,4,4,5,4,5,4,4,4,5,4,4,4,5,4,4,1,4,5,4,4,4,4,4,4,젊은층들이 자유롭게 근무할 수 있어서,3,3,6,70,1,1,1,1,1,1,1,1,4,4,4,4,3,안내원,"컴퓨터, 볼펜",없다,없다,없다,1,1,41,4,컴퓨터학,1,1,1,5800,0,2100,522202
7,4,5,4,5,4,5,3,4,2,2,3,5,3,4,2,1,3,5,3,5,2,1,3,4,2,2,3,3,2,3,3,5,4,4,4,5,3,5,2,2,2,1,4,4,3,3,2,3,1,0,2,3,1,0,2,2,1,0,1,0,1,0,1,0,2,3,3,5,1,0,2,1,1,0,2,1,5,2,3,3,2,3,3,1,2,1,도장기능사,0,0,2,0,0,4,2,2,3,2,4,4,3,3,3,3,4,4,3,3,2,4,4,3,3,5,4,4,3,3,4,3,3,자동화가 많이 되고 있어서,3,2,2,20,2,2,1,2,1,2,2,2,3,4,4,3,4,없다,"퍼티, 프라이머 써페이스, 코라스틱 프라이머",학생(없다),모름,없다,3,1,39,3,자동화,1,1,1,4800,0,2000,825101
8,4,4,4,5,4,5,4,5,4,5,4,6,4,6,4,5,4,6,4,6,4,6,4,6,4,6,4,6,4,6,4,6,3,4,4,5,4,5,4,6,4,5,3,4,3,4,4,5,5,7,5,7,4,5,4,5,3,5,4,5,4,5,3,4,4,5,5,7,4,6,4,6,4,5,4,5,3,4,4,6,3,4,13,2,5,1,항공교통관제사,0,0,1,4,항공교통관제관련교육,4,4,4,4,4,4,4,3,3,3,3,4,4,3,4,2,4,3,4,3,4,4,2,3,3,4,4,2,AI(인공지능)로 인한 자동화로 인해서,4,2,5,40,1,1,1,2,2,2,1,1,4,5,2,4,3,관제사,"관제관련시스템(FDT, FOLS)",관제사(동일함),운항관리사,0,4,1,45,3,전자공학,1,1,1,7000,0,4000,621401
9,2,2,2,2,3,4,3,1,3,1,3,2,3,1,3,2,3,2,3,5,2,1,2,1,3,4,2,3,3,3,3,2,3,2,4,2,3,1,3,3,4,1,4,1,4,2,4,1,3,2,2,2,4,3,4,4,3,2,3,3,4,4,4,1,4,2,3,2,3,1,3,2,4,4,3,1,4,1,3,1,3,1,4,1,2,1,충전시설관리,위험관리사,0,1,1,"현장적응기간,위험물취급메뉴얼숙지",2,1,3,2,2,4,4,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,가스사용양이 줄어들것같아서,1,1,5,50,2,2,2,2,2,1,2,2,2,3,2,3,1,가스안전관리사,"가스충전기,위험물 취급 메뉴얼,검지기,측정기",없다,없다,없다,3,2,58,2,상고,1,1,1,3400,0,2000,158402
10,3,4,4,4,4,4,4,4,3,5,4,4,4,5,4,5,4,5,4,4,4,4,4,4,4,5,4,4,4,4,2,4,3,4,2,3,4,4,3,4,3,3,3,4,3,4,3,4,3,4,4,5,3,3,4,4,4,4,2,3,3,4,2,3,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,4,3,4,15,2,5,2,0,0,0,1,1,직무교육,2,4,3,3,3,4,3,4,3,2,3,4,3,3,3,4,3,2,4,3,3,4,1,3,2,2,3,4,관새국경감시고유기능 확대,3,4,6,20,2,2,2,2,2,2,2,2,4,4,3,3,3,반장,"한글, 관세총관시스템",없음,다른 직렬 공무원,0,3,1,45,4,행정학,1,1,1,5000,0,1500,25201
11,5,6,4,6,4,6,1,0,1,0,4,5,4,5,4,5,4,5,5,6,3,4,1,0,4,5,4,5,4,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,6,4,5,4,5,4,5,5,7,2,2,4,5,4,5,4,5,4,5,4,5,1,0,4,5,1,0,4,5,4,5,1,0,1,0,15,2,6,2,0,0,0,1,3,"정보화 교육, 보고서 작성요령",3,5,4,3,3,3,4,2,4,4,4,4,4,2,3,2,2,3,3,4,4,3,3,4,2,2,3,2,인구감소가 진행될 됫 것이다,3,3,2,10,2,2,2,2,1,1,2,2,5,5,3,3,4,없다,국회업무망,청와대 춘추관장 겸 보도지원 비서관,0,0,3,2,53,6,동아시아학,1,3,2,14000,0,14000,11101
12,4,5,4,4,4,5,2,2,2,2,2,2,2,2,3,4,5,7,3,4,4,5,4,5,2,2,4,6,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,5,4,4,3,3,4,5,3,4,2,2,2,2,4,4,2,3,2,2,4,4,1,0,1,0,1,0,1,0,3,4,1,0,1,0,18,1,2,2,0,0,0,2,0,0,4,4,4,3,2,4,4,2,2,3,3,4,3,3,3,2,3,4,4,3,3,3,2,2,4,2,2,2,일자리 수요에 비래 배출되는 인력이 과다,2,3,1,5,2,2,2,2,2,2,2,2,4,4,4,4,4,없다,"PC,EXCEL,PPt",없다,없다,없다,3,2,30,4,불어불문학,1,3,2,2100,0,1400,411104
13,2,1,2,3,2,3,2,2,1,0,1,0,1,0,1,0,2,2,1,0,1,0,2,2,1,0,2,1,1,0,3,3,5,6,4,6,1,0,4,5,1,0,2,2,1,0,1,0,1,0,2,3,2,2,2,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,4,8,4,1,1,기중기 운전면허증,0,0,2,0,0,7,1,2,2,2,4,4,2,3,0,0,0,3,2,2,4,4,4,3,4,3,2,1,3,2,4,4,2,건설경기 불황으로,1,3,1,0,2,2,2,2,2,2,2,2,4,4,4,3,2,없음,없음,단순노무직,없음,없음,4,1,61,1,0,2,6,0,0,4500,0,623001
14,5,7,3,5,3,5,1,0,3,5,3,5,4,6,4,6,5,7,2,3,4,6,4,5,2,3,2,4,2,3,1,0,1,0,1,0,5,7,1,0,1,0,1,0,1,0,2,3,4,6,2,3,1,0,3,5,2,3,1,0,1,0,2,3,1,0,2,3,1,0,1,0,2,3,1,0,2,3,1,0,2,3,18,1,1,2,0,0,0,2,0,0,2,4,3,2,2,4,3,4,2,2,3,3,3,3,4,3,3,2,4,2,3,3,2,3,3,3,3,3,일반인이 쉽게 제작,3,2,6,60,2,2,2,2,2,2,2,2,4,3,3,1,1,없음,"드림위버, 포토샵, 일러스트",없음,없음,없음,1,2,26,3,산업디자인학,1,1,1,1800,0,1560,415501
15,3,4,3,3,4,4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,3,5,3,4,3,4,2,3,3,3,3,4,3,3,3,5,3,4,3,6,3,4,3,3,3,3,3,3,3,3,3,4,5,5,4,5,3,5,3,4,3,3,3,4,4,4,4,4,3,4,4,5,3,4,4,4,3,3,15,2,2,1,자동차정비 산업기사,항공정비사,산업안전산업기사이상,1,2,"장비별 작업상 기능 및 정비, 공구 습득 훈련",2,2,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3,1,4,2,3,3,3,3,3,3,2,2,점점 첨단화되기 때문에,3,2,2,40,1,1,1,2,1,1,2,1,4,4,4,3,4,없다,"정비용공구(드라이버,측정장비 등등)",없다,농기계수리 및 제초인력,없다,3,1,34,5,농업생명과학,1,1,1,4100,0,2200,812101
16,3,4,3,4,3,4,3,3,3,4,3,2,3,4,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,2,3,2,2,3,1,0,3,3,2,3,1,0,1,0,1,0,1,0,1,0,3,6,3,5,3,6,3,3,3,3,3,3,3,1,3,2,3,2,3,3,3,2,3,2,3,3,3,3,3,2,3,1,15,2,5,2,0,0,0,1,1,직무교육,5,5,3,2,2,4,4,4,3,3,5,5,4,3,3,2,3,3,4,3,4,4,4,4,3,3,3,3,정부정책상 움직임이 없는 직업이라서,2,3,1,10,2,1,1,2,2,2,2,2,4,3,4,4,3,없다,CDW,없다,관세사,없다,3,2,40,4,미생물학,1,1,1,4000,0,3000,25201
17,2,3,3,2,2,3,2,1,2,2,3,3,3,5,3,3,3,5,3,4,2,2,3,4,2,1,2,2,3,5,1,0,1,0,1,0,2,4,1,0,1,0,1,0,1,0,2,3,3,4,2,3,1,0,2,2,1,0,2,1,2,2,1,0,2,3,2,2,2,2,2,2,2,3,2,2,3,4,1,0,1,0,18,1,6,2,0,0,0,1,1,"기본적인 웹사이트 구조 및 IT에 대한 지식공부, GA(Google Analyeics) 교육",7,5,3,3,2,4,4,3,4,4,2,4,4,5,4,4,2,2,2,2,3,3,1,2,4,2,2,4,IT쪽 전문가는 늘 필요하고 향후 디지털 시장에서 더욱 중요해질 것이기 때문,3,3,4,20,2,1,2,2,2,2,2,2,4,4,4,4,2,웹사이트 구축 담당,"웹사이트 관리 CMS IT프로그램(Adobe, IBM 등), 웹사이트 데이터 분석 프로그램(Google Anglytics 등)",기업 홍보담당원,없음,빅데이터 분석 전문가,4,2,28,4,심리학,1,1,1,5500,0,4300,415501
18,4,5,4,5,4,5,3,4,4,6,3,4,4,5,3,4,3,3,4,5,3,5,4,5,3,4,3,4,3,4,3,4,4,5,4,5,3,4,3,4,3,5,3,5,4,5,4,5,3,4,4,5,3,4,3,4,4,6,4,5,4,5,4,5,3,4,4,6,4,5,4,5,4,5,3,4,3,4,3,4,3,4,3,1,2,1,치과기공사,0,0,2,0,0,5,5,4,4,4,4,5,4,5,4,5,4,5,4,5,4,4,4,4,4,4,4,3,4,4,3,4,3,평균수명 연장,2,2,2,60,1,1,1,1,2,2,1,1,4,4,4,4,4,없다,"석고모형, 보철, 금, 은, 마스크, 보안경, 컴프레셔",학생,없다,치과위생사,2,1,34,3,치기공학,1,1,1,3500,0,2000,306301
19,3,5,3,5,4,5,3,5,3,4,3,5,3,4,3,3,4,5,3,5,3,3,3,5,3,3,2,3,2,4,1,0,1,0,1,0,4,5,1,0,1,0,2,3,2,2,4,4,3,5,3,3,3,3,4,5,3,4,4,5,3,4,3,4,2,4,3,4,1,0,3,4,3,3,2,3,3,3,2,3,2,3,10,1,5,2,0,0,0,2,0,0,3,4,3,3,3,4,3,4,3,4,3,3,4,4,4,2,3,3,4,4,2,3,3,3,3,2,3,3,광고 및 영상 그래픽 등의 수요가 현상 유지 상태,2,3,3,15,1,2,2,2,2,2,1,2,2,2,3,3,3,없다,"포토샵, 일러스트, 에프터이펙트 등 그래픽 툴 다수",없다,없다,없다,3,1,29,4,멀티미디어,1,1,1,2500,0,2200,415503
